Car Make,Car Model,Year,isElectric,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Skoda,Kodiaq,2022,False,3.9,150,242,5.2,36115
Dacia,Sandero,2019,False,1.1,131,124,9.9,34988
Infiniti,Q60,2018,False,1.0,254,317,5.7,69843
Lamborgini,Huracan,2024,False,3.4,548,569,4.8,293797
Great Wall,Haval H6,2019,False,2.8,144,194,5.6,72001
Chery,Tiggo,2015,False,1.1,144,122,11.7,10799
Awdi,A4,2018,False,3.8,394,486,4.0,298310
Mitsubishi,Outlander,2022,False,1.5,102,216,10.8,33982
Teslla,Roadster,2015,True,0.0,965,1033,3.5,89640
Proton,Persona,2022,False,1.1,194,172,11.8,12317
Seat,Leon,2018,False,3.9,300,195,6.7,41101
Dacia,Spring,2022,False,1.7,112,122,6.3,16249
Fiat,Panda,2022,False,1.3,99,143,11.2,17061
Mazada,Mazda6,2019,False,1.1,309,213,7.7,46911
Renault,Megane,2021,False,3.0,272,196,7.3,56628
SsangYong,Rexton,2017,False,1.4,246,276,5.3,55996
McLarren,570S,2020,False,4.1,579,621,3.7,286520
MG,5,2024,False,2.5,331,343,7.8,79424
Lada,Largus,2018,False,2.3,193,142,9.0,19846
Opel,Crossland,2024,False,3.5,313,231,8.0,78159
Dacia,Logan,2023,False,2.0,107,110,10.5,33224
Mitsubishi,Eclipse Cross,2022,False,1.3,170,154,7.4,9339
Skoda,Fabia,2015,False,1.5,207,281,8.9,61059
Suburu,Forester,2021,False,3.5,146,218,7.9,20961
Renault,Clio,2022,False,1.3,135,174,5.8,30913
Hondda,NSX,2017,False,3.4,126,164,6.7,46560
Dacia,Spring,2015,False,1.2,182,186,7.7,9141
Peugeot,3008,2016,False,1.9,316,266,8.8,22315
Proton,X70,2021,False,2.4,101,101,11.7,24896
BYD,Tang,2020,False,1.5,386,346,5.2,78640
Seat,Arona,2016,False,1.4,268,158,4.1,19750
Peugeot,308,2016,False,3.5,338,231,8.8,44639
Teslla,Roadster,2023,True,0.0,202,610,4.1,101358
Fourd,Mustang,2022,False,3.1,247,290,5.1,70119
BYD,Dolphin,2016,True,0.0,276,282,5.9,98813
Renault,Kadjar,2017,False,2.7,134,317,5.1,74716
Skoda,Fabia,2023,False,2.6,261,213,7.9,15283
Chery,eQ1,2015,False,1.7,199,183,7.0,17033
Great Wall,Cannon,2016,False,2.7,305,272,4.8,65548
Awdi,Q5,2016,False,2.7,465,548,3.4,323946
Nisann,Rogue,2023,False,2.1,123,197,5.7,66038
Hyundai,Elantra,2022,False,2.1,366,219,5.1,24489
Volkswagon,Tiguan,2022,False,1.7,355,334,7.9,79728
Teslla,Roadster,2021,True,0.0,346,546,4.5,35984
Teslla,Model Y,2020,True,0.0,1002,542,5.5,163167
Porche,Boxster,2019,False,5.3,753,467,5.0,103588
Lexas,LC 500,2021,False,3.0,229,300,8.0,31790
Lada,Vesta,2022,False,1.8,156,192,11.1,18220
Nisann,Sentra,2018,False,1.9,185,213,6.0,18855
Skoda,Fabia,2016,False,2.8,340,243,5.5,16882
Infiniti,G37,2018,False,3.3,289,196,8.9,57123
Lada,Niva,2020,False,1.7,111,179,6.4,21069
Lamborgini,Huracan,2022,False,3.0,606,554,4.1,99241
Hondda,Accord,2020,False,1.7,135,274,7.5,75557
Kia,Soul,2021,False,1.3,85,164,7.1,29356
Porche,911,2016,False,5.7,521,528,2.9,314740
Mercedez,E63 AMG,2015,False,6.1,727,530,5.3,313855
Geely,Coolray,2018,False,1.4,170,174,6.7,20313
Chevrolett,Bolt,2016,True,0.0,314,404,3.2,129561
MG,ZS,2017,False,1.5,371,338,4.0,27145
Great Wall,Poer,2015,False,1.4,201,211,4.8,79706
McLarren,Artura,2016,False,4.9,600,642,5.5,131702
Volkswagon,Atlas,2016,False,1.3,349,245,7.2,59891
Nisann,Leaf,2017,True,0.0,822,260,4.9,37266
Geely,Emgrand,2022,False,1.7,154,171,6.7,31037
Skoda,Octavia,2020,False,1.7,382,235,8.2,60582
Chery,eQ1,2018,False,1.7,147,146,10.5,20767
Awdi,TT,2020,False,6.1,479,518,3.3,350810
Volkswagon,Jetta,2023,False,3.9,316,202,5.5,25173
Mazada,MX-5 Miata,2024,False,2.2,269,286,8.2,51306
Geely,Okavango,2017,False,2.5,85,160,9.2,17853
MG,5,2020,False,3.8,266,282,8.4,56107
Ferarri,SF90,2017,False,6.2,483,612,3.9,305760
Nisann,Rogue,2022,False,2.9,369,282,8.4,56648
Great Wall,Cannon,2016,False,3.9,330,166,8.6,73986
BYD,Han,2021,False,1.4,285,187,5.2,55780
Mercedez,E63 AMG,2023,False,2.4,629,621,2.9,129777
Hondda,Accord,2024,False,1.9,320,195,7.4,43331
